,time,bid_ask,round
707,32294,5,2668
708,32295,5,2668
709,32295,5,2668
710,32299,15,2668
711,32301,15,2668
712,32310,20,2668
713,32319,5,2668
714,32319,5,2668
715,32322,25,2668
716,32323,5,2668
717,32327,25,2668
718,32328,25,2668
719,32329,5,2668
720,32336,20,2668
721,32336,20,2668
722,32344,5,2668
723,32345,5,2668
724,32346,5,2668
725,32347,5,2668
726,32348,5,2668
727,32349,5,2668
728,32352,5,2668
729,32353,5,2668
730,32353,5,2668
731,32354,-1,2668
732,32355,-1,2668
733,32356,-1,2668
734,32358,-1,2668
735,32362,-1,2668
736,32379,-1,2668
737,32379,-1,2668
738,32379,-1,2668
739,32450,-1,2669
740,32452,-1,2669
741,32456,10,2669
742,32458,-1,2669
743,32458,-1,2669
744,32460,75,2669
745,32465,35,2669
746,32470,20,2669
747,32473,55,2669
748,32475,20,2669
749,32478,15,2669
750,32481,20,2669
751,32483,15,2669
752,32486,10,2669
753,32488,15,2669
754,32495,10,2669
755,32499,15,2669
756,32509,5,2669
757,32514,10,2669
758,32529,10,2669
759,32550,5,2669
760,32573,5,2669
761,32577,5,2669
762,32619,10,2669
763,32581,10,2669
764,32584,5,2669
765,32584,5,2669
766,32585,5,2669
767,32585,5,2669
768,32586,20,2669
769,32587,25,2669
770,32599,-1,2669
771,32600,-1,2669
772,32603,-1,2669
773,32605,-1,2669
774,32608,15,2669
775,32609,-1,2669
776,32614,-1,2669
777,32614,-1,2669
778,32616,-1,2669
779,32622,-1,2669
780,32635,-1,2669
781,32635,-1,2669
782,32709,10,2670
783,32711,-1,2670
784,32712,-1,2670
785,32712,-1,2670
786,32713,-1,2670
787,32715,5,2670
788,32717,-1,2670
789,32718,-1,2670
790,32725,5,2670
791,32726,-1,2670
792,32727,-1,2670
793,32728,10,2670
794,32731,5,2670
795,32737,5,2670
796,32742,5,2670
797,32742,5,2670
798,32744,5,2670
799,32748,5,2670
800,32750,5,2670
801,32751,5,2670
802,32755,5,2670
803,32799,5,2670
804,32760,5,2670
805,32761,10,2670
806,32761,10,2670
807,32762,10,2670
808,32764,5,2670
809,32765,5,2670
810,32766,5,2670
811,32766,5,2670
812,32769,5,2670
813,32769,5,2670
814,32771,-1,2670
815,32773,5,2670
816,32773,5,2670
817,32774,15,2670
818,32774,15,2670
819,32776,10,2670
820,32783,5,2670
821,32786,10,2670
822,32786,5,2670
823,32788,15,2670
824,32789,5,2670
825,32789,5,2670
826,32790,10,2670
827,32792,5,2670
828,32792,5,2670
829,32794,15,2670
830,32805,5,2670
831,32806,5,2670
832,32808,-1,2670
833,32811,30,2670
834,32813,30,2670
835,32815,30,2670
836,32816,30,2670
837,32820,5,2670
838,32821,5,2670
839,32821,5,2670
840,32822,5,2670
841,32823,5,2670
842,32826,5,2670
843,32826,5,2670
844,32839,5,2670
845,32839,5,2670
846,32840,5,2670
847,32841,5,2670
848,32844,5,2670
849,32845,5,2670
850,32855,5,2670
851,32858,10,2670
852,32865,5,2670
853,32866,5,2670
854,32869,15,2670
855,32870,15,2670
856,32871,15,2670
857,32873,15,2670
858,32873,15,2670
859,32873,15,2670
860,32874,-1,2670
861,32875,-1,2670
862,32876,10,2670
863,32919,-1,2670
864,32882,-1,2670
865,32885,-1,2670
866,32955,-1,2671
867,32961,10,2671
868,32962,10,2671
869,32962,10,2671
870,32964,10,2671
871,32964,10,2671
872,32966,-1,2671
873,32969,5,2671
874,32969,5,2671
875,32972,5,2671
876,32981,5,2671
877,32981,5,2671
878,32982,5,2671
879,32982,5,2671
880,32982,5,2671
881,32983,15,2671
882,32989,15,2671
883,32993,5,2671
884,33039,5,2671
885,33002,5,2671
886,33006,5,2671
887,33007,5,2671
888,33012,10,2671
889,33012,10,2671
890,33013,5,2671
891,33015,5,2671
892,33017,10,2671
893,33020,5,2671
894,33022,10,2671
895,33022,10,2671
896,33033,10,2671
897,33034,10,2671
898,33034,10,2671
899,33034,10,2671
900,33034,10,2671
901,33034,10,2671
902,33034,10,2671
903,33034,10,2671
904,33042,5,2671
905,33043,5,2671
906,33044,5,2671
907,33046,5,2671
908,33047,5,2671
909,33048,5,2671
910,33053,10,2671
911,33055,10,2671
912,33058,10,2671
913,33099,10,2671
914,33060,10,2671
915,33062,-1,2671
916,33063,10,2671
917,33065,10,2671
918,33066,10,2671
919,33066,10,2671
920,33067,10,2671
921,33069,10,2671
922,33069,10,2671
923,33072,-1,2671
924,33358,10,2672
925,33361,-1,2672
926,33361,-1,2672
927,33363,5,2672
928,33364,10,2672
929,33366,-1,2672
930,33367,-1,2672
931,33368,-1,2672
932,33368,-1,2672
933,33368,-1,2672
934,33369,-1,2672
935,33371,-1,2672
936,33372,-1,2672
937,33372,-1,2672
938,33373,-1,2672
939,33373,-1,2672
940,33376,-1,2672
941,33378,-1,2672
942,33379,50,2672
943,33386,10,2672
944,33388,5,2672
945,33389,5,2672
946,33390,65,2672
947,33390,60,2672
948,33390,50,2672
949,33391,50,2672
950,33391,60,2672
951,33391,60,2672
952,33392,60,2672
953,33392,60,2672
954,33393,55,2672
955,33393,60,2672
956,33394,60,2672
957,33394,50,2672
958,33396,60,2672
959,33396,60,2672
960,33397,55,2672
961,33397,55,2672
962,33398,60,2672
963,33403,50,2672
964,33414,20,2672
965,33416,15,2672
966,33459,20,2672
967,33459,20,2672
968,33420,20,2672
969,33420,20,2672
970,33420,20,2672
971,33425,20,2672
972,33429,20,2672
973,33429,20,2672
974,33429,20,2672
975,33431,25,2672
976,33436,15,2672
977,33436,15,2672
978,33450,15,2672
979,33453,20,2672
980,33453,20,2672
981,33454,20,2672
982,33454,20,2672
983,33454,20,2672
984,33454,20,2672
985,33454,20,2672
986,33454,20,2672
987,33454,20,2672
988,33454,20,2672
989,33454,20,2672
990,33455,20,2672
991,33455,20,2672
992,33457,5,2672
993,33457,5,2672
994,33458,5,2672
995,33458,5,2672
996,33459,15,2672
997,33461,-1,2672
998,33461,-1,2672
999,33462,-1,2672
1000,33463,-1,2672
1001,33465,-1,2672
1002,33469,-1,2672
1003,33541,10,2673
1004,33542,10,2673
1005,33547,10,2673
1006,33549,-1,2673
1007,33558,10,2673
1008,33569,10,2673
1009,33569,10,2673
1010,33570,10,2673
1011,33570,-1,2673
1012,33574,10,2673
1013,33581,-1,2673
1014,33586,30,2673
1015,33610,30,2673
1016,33640,-1,2673
1017,33647,-1,2673
1018,33650,-1,2673
1019,33651,-1,2673
1020,33728,10,2674
1021,33730,115,2674
1022,33740,5,2674
1023,33745,5,2674
1024,33748,5,2674
1025,33750,10,2674
1026,33761,10,2674
1027,33763,125,2674
1028,33767,10,2674
1029,33767,10,2674
1030,33772,5,2674
1031,33776,5,2674
1032,33781,5,2674
1033,33781,5,2674
1034,33784,-1,2674
1035,33805,-1,2674
1036,33805,-1,2674
1037,33805,-1,2674
1038,33805,-1,2674
1039,33805,-1,2674
1040,33805,-1,2674
1041,33805,-1,2674
1042,33805,-1,2674
1043,33805,-1,2674
1044,33805,-1,2674
1045,33806,35,2674
1046,33808,20,2674
1047,33810,10,2674
1048,33811,-1,2674
1049,33837,-1,2674
1050,33838,-1,2674
1051,33912,80,2675
1052,33914,110,2675
1053,33915,-1,2675
1054,33918,-1,2675
1055,33920,-1,2675
1056,33921,-1,2675
1057,33923,-1,2675
1058,33925,-1,2675
1059,33928,-1,2675
1060,33930,335,2675
1061,33933,305,2675
1062,33935,315,2675
1063,33954,-1,2675
1064,33983,270,2675
1065,33984,-1,2675
1066,33989,-1,2675
1067,33995,25,2675
1068,33999,35,2675
1069,34000,35,2675
1070,34001,35,2675
1071,34003,5,2675
1072,34004,5,2675
1073,34005,5,2675
1074,34005,5,2675
1075,34006,5,2675
1076,34006,5,2675
1077,34006,5,2675
1078,34007,5,2675
1079,34007,5,2675
1080,34007,5,2675
1081,34007,5,2675
1082,34007,5,2675
1083,34008,5,2675
1084,34010,60,2675
1085,34014,25,2675
1086,34034,55,2675
