Order_ID,Participant,Type,Period_IF_Robot
406278,6,ROBOT,5
406288,6,ROBOT,5
406290,6,ROBOT,5
406291,6,Manual,-1
406292,6,ROBOT,6
406304,6,ROBOT,6
406313,6,Manual,-1
406316,6,Manual,-1
406320,6,Manual,-1
406324,6,Manual,-1
406347,6,ROBOT,7
406352,6,Manual,-1
406360,6,Manual,-1
406368,6,Manual,-1
406371,6,Manual,-1
406379,6,Manual,-1
406386,6,Manual,-1
406399,6,Manual,-1
406416,6,Manual,-1
406420,6,Manual,-1
406451,6,Manual,-1
406454,6,Manual,-1
406461,6,Manual,-1
406479,6,Manual,-1
406487,6,Manual,-1
406516,6,Manual,-1
406536,6,Manual,-1
406561,6,ROBOT,10
406613,6,Manual,-1
406622,6,ROBOT,11
406627,6,ROBOT,11
406630,6,Manual,-1
406635,6,ROBOT,11
406646,6,Manual,-1
406669,6,Manual,-1
406672,6,ROBOT,12
406684,6,Manual,-1
406701,6,Manual,-1
406714,6,Manual,-1
406746,6,Manual,-1
406774,6,Manual,-1
406782,6,ROBOT,13
406790,6,Manual,-1
406814,6,ROBOT,13
406831,6,Manual,-1
406884,6,Manual,-1
406983,6,Manual,-1
406985,6,Manual,-1
406986,6,Manual,-1
406987,6,Manual,-1
406988,6,Manual,-1
406989,6,Manual,-1
406990,6,Manual,-1
406991,6,Manual,-1
406992,6,Manual,-1
406993,6,Manual,-1
406994,6,Manual,-1
406995,6,Manual,-1
406996,6,Manual,-1
406997,6,Manual,-1
405592,7,ROBOT,0
405594,7,ROBOT,0
405600,7,ROBOT,0
405607,7,ROBOT,0
405611,7,ROBOT,0
405634,7,ROBOT,0
405647,7,ROBOT,0
405672,7,Manual,-1
405703,7,ROBOT,0
405706,7,ROBOT,0
405709,7,ROBOT,0
405713,7,ROBOT,0
405716,7,ROBOT,0
405721,7,Manual,-1
405733,7,Manual,-1
405740,7,Manual,-1
405742,7,Manual,-1
405747,7,Manual,-1
405806,7,Manual,-1
405831,7,Manual,-1
405833,7,Manual,-1
405869,7,Manual,-1
405877,7,Manual,-1
405906,7,ROBOT,2
405943,7,Manual,-1
405948,7,ROBOT,2
405955,7,ROBOT,2
406014,7,Manual,-1
406031,7,ROBOT,3
406037,7,Manual,-1
406047,7,Manual,-1
406057,7,Manual,-1
406063,7,Manual,-1
406073,7,Manual,-1
406090,7,Manual,-1
406098,7,Manual,-1
406113,7,Manual,-1
406118,7,Manual,-1
406119,7,Manual,-1
406124,7,Manual,-1
406130,7,Manual,-1
406147,7,Manual,-1
406153,7,Manual,-1
406169,7,Manual,-1
406199,7,ROBOT,5
406220,7,Manual,-1
406226,7,Manual,-1
406231,7,Manual,-1
406237,7,Manual,-1
406267,7,Manual,-1
406270,7,Manual,-1
406299,7,ROBOT,6
406311,7,Manual,-1
406314,7,Manual,-1
406319,7,Manual,-1
406325,7,Manual,-1
406327,7,Manual,-1
406332,7,Manual,-1
406339,7,Manual,-1
406340,7,Manual,-1
406346,7,Manual,-1
406349,7,Manual,-1
406353,7,Manual,-1
406357,7,Manual,-1
406364,7,Manual,-1
406372,7,Manual,-1
406381,7,Manual,-1
406387,7,Manual,-1
406392,7,Manual,-1
406398,7,Manual,-1
406402,7,Manual,-1
406404,7,Manual,-1
406433,7,Manual,-1
406439,7,Manual,-1
406445,7,Manual,-1
406447,7,Manual,-1
406452,7,Manual,-1
406455,7,Manual,-1
406457,7,Manual,-1
406459,7,Manual,-1
406462,7,Manual,-1
406482,7,Manual,-1
406486,7,Manual,-1
406488,7,Manual,-1
406493,7,Manual,-1
406496,7,Manual,-1
406499,7,Manual,-1
406509,7,Manual,-1
406519,7,Manual,-1
406532,7,Manual,-1
406538,7,Manual,-1
406554,7,ROBOT,10
406563,7,ROBOT,10
406568,7,Manual,-1
406575,7,ROBOT,10
406578,7,Manual,-1
406580,7,ROBOT,10
406584,7,ROBOT,10
406589,7,ROBOT,10
406592,7,ROBOT,10
406598,7,ROBOT,10
406606,7,Manual,-1
406608,7,Manual,-1
406612,7,Manual,-1
406624,7,Manual,-1
406633,7,Manual,-1
406644,7,Manual,-1
406645,7,Manual,-1
406647,7,Manual,-1
406651,7,Manual,-1
406660,7,Manual,-1
406663,7,Manual,-1
406675,7,Manual,-1
406676,7,Manual,-1
406678,7,Manual,-1
406700,7,Manual,-1
406739,7,Manual,-1
406744,7,Manual,-1
406755,7,Manual,-1
406756,7,Manual,-1
406776,7,ROBOT,13
